,Summary,Packet Size,Network Protocol,Transport Protocol,Operation,Source
3291,"IP UDP DNS Ans ""216.58.212.40""",117,IP,UDP,DNS-Ans,"""216.58.212.40"""
3292,"IP UDP DNS Ans ""2a00:1450:4017:80e::2008""",129,IP,UDP,DNS-Ans,"""2a00:1450:4017:80e::2008"""
3293,IP UDP 10.0.2.15:49682 142.250.184.138:https Raw,79,IP,UDP,Transport,10.0.2.15:49682
3294,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1897,IP,TCP,Connection-Transport,3.5.139.117:https
3295,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3296,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,7157,IP,TCP,Connection-Transport,3.5.139.117:https
3297,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3298,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,3331,IP,TCP,Connection-Transport,3.5.139.117:https
3299,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3300,IP TCP 10.0.2.15:37328 3.5.139.117:https PA Raw,529,IP,TCP,Connection-Transport,10.0.2.15:37328
3301,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,26280,IP,TCP,Connection-Transport,3.5.139.117:https
3302,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3303,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,13860,IP,TCP,Connection-Transport,3.5.139.117:https
3304,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3305,IP TCP 3.5.139.117:https 10.0.2.15:37328 A Padding,66,IP,TCP,Connection-Transport,3.5.139.117:https
3306,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,19380,IP,TCP,Connection-Transport,3.5.139.117:https
3307,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3308,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,471,IP,TCP,Connection-Transport,3.5.139.117:https
3309,IP TCP 10.0.2.15:37370 3.5.139.117:https PA Raw,543,IP,TCP,Connection-Transport,10.0.2.15:37370
3310,IP TCP 3.5.139.117:https 10.0.2.15:37370 A Padding,66,IP,TCP,Connection-Transport,3.5.139.117:https
3311,IP TCP 10.0.2.15:46226 142.250.184.138:https PA Raw,84,IP,TCP,Connection-Transport,10.0.2.15:46226
3312,IP TCP 10.0.2.15:46226 142.250.184.138:https FA,60,IP,TCP,Connection-Transport,10.0.2.15:46226
3313,IP TCP 142.250.184.138:https 10.0.2.15:46226 A Padding,66,IP,TCP,Connection-Transport,142.250.184.138:https
3314,IP TCP 142.250.184.138:https 10.0.2.15:46226 A Padding,66,IP,TCP,Connection-Transport,142.250.184.138:https
3315,IP TCP 3.5.139.117:https 10.0.2.15:37358 PA Raw,17077,IP,TCP,Connection-Transport,3.5.139.117:https
3316,IP TCP 10.0.2.15:37358 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37358
3317,IP TCP 3.5.139.117:https 10.0.2.15:37338 A Raw,57000,IP,TCP,Connection-Transport,3.5.139.117:https
3318,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3319,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,7980,IP,TCP,Connection-Transport,3.5.139.117:https
3320,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3321,IP TCP 10.0.2.15:37330 3.5.139.117:https PA Raw,534,IP,TCP,Connection-Transport,10.0.2.15:37330
3322,IP TCP 3.5.139.117:https 10.0.2.15:37330 A Padding,66,IP,TCP,Connection-Transport,3.5.139.117:https
3323,IP TCP 142.250.184.138:https 10.0.2.15:46226 FA Padding,66,IP,TCP,Connection-Transport,142.250.184.138:https
3324,IP TCP 10.0.2.15:46226 142.250.184.138:https A,60,IP,TCP,Connection-Transport,10.0.2.15:46226
3325,IP TCP 10.0.2.15:43198 108.157.52.75:https PA Raw,144,IP,TCP,Connection-Transport,10.0.2.15:43198
3326,IP TCP 108.157.52.75:https 10.0.2.15:43198 A Padding,66,IP,TCP,Connection-Transport,108.157.52.75:https
3327,IP TCP 10.0.2.15:43198 108.157.52.75:https PA Raw,91,IP,TCP,Connection-Transport,10.0.2.15:43198
3328,IP TCP 108.157.52.75:https 10.0.2.15:43198 A Padding,66,IP,TCP,Connection-Transport,108.157.52.75:https
3329,IP TCP 10.0.2.15:58100 108.157.62.27:http A,60,IP,TCP,Connection-Transport,10.0.2.15:58100
3330,IP TCP 108.157.62.27:http 10.0.2.15:58100 A Padding,66,IP,TCP,Connection-Transport,108.157.62.27:http
3331,IP TCP 3.5.139.117:https 10.0.2.15:37328 PA Raw,3330,IP,TCP,Connection-Transport,3.5.139.117:https
3332,IP TCP 10.0.2.15:37328 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37328
3333,IP TCP 3.5.139.117:https 10.0.2.15:37328 PA Raw,29515,IP,TCP,Connection-Transport,3.5.139.117:https
3334,IP TCP 10.0.2.15:37328 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37328
3335,IP TCP 3.5.139.117:https 10.0.2.15:37328 PA Raw,22145,IP,TCP,Connection-Transport,3.5.139.117:https
3336,IP TCP 10.0.2.15:37328 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37328
3337,IP TCP 3.5.139.117:https 10.0.2.15:37358 PA Raw,7921,IP,TCP,Connection-Transport,3.5.139.117:https
3338,IP TCP 10.0.2.15:37358 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37358
3339,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,557,IP,TCP,Connection-Transport,3.5.139.117:https
3340,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,2820,IP,TCP,Connection-Transport,3.5.139.117:https
3341,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3342,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,571,IP,TCP,Connection-Transport,3.5.139.117:https
3343,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,12480,IP,TCP,Connection-Transport,3.5.139.117:https
3344,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3345,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,3446,IP,TCP,Connection-Transport,3.5.139.117:https
3346,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3347,IP TCP 3.5.139.117:https 10.0.2.15:37330 A Raw,2980,IP,TCP,Connection-Transport,3.5.139.117:https
3348,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3349,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,20600,IP,TCP,Connection-Transport,3.5.139.117:https
3350,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3351,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,24880,IP,TCP,Connection-Transport,3.5.139.117:https
3352,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3353,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1163,IP,TCP,Connection-Transport,3.5.139.117:https
3354,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,11740,IP,TCP,Connection-Transport,3.5.139.117:https
3355,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3356,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1311,IP,TCP,Connection-Transport,3.5.139.117:https
3357,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,2980,IP,TCP,Connection-Transport,3.5.139.117:https
3358,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3359,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,2980,IP,TCP,Connection-Transport,3.5.139.117:https
3360,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3361,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,7065,IP,TCP,Connection-Transport,3.5.139.117:https
3362,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3363,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,6960,IP,TCP,Connection-Transport,3.5.139.117:https
3364,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3365,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,526,IP,TCP,Connection-Transport,3.5.139.117:https
3366,IP TCP 3.5.139.117:https 10.0.2.15:37330 A Raw,10280,IP,TCP,Connection-Transport,3.5.139.117:https
3367,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3368,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,10380,IP,TCP,Connection-Transport,3.5.139.117:https
3369,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3370,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,571,IP,TCP,Connection-Transport,3.5.139.117:https
3371,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,12480,IP,TCP,Connection-Transport,3.5.139.117:https
3372,IP TCP 10.0.2.15:37370 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37370
3373,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,11100,IP,TCP,Connection-Transport,3.5.139.117:https
3374,IP TCP 10.0.2.15:37370 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37370
3375,IP TCP 3.5.139.117:https 10.0.2.15:37330 A Raw,23420,IP,TCP,Connection-Transport,3.5.139.117:https
3376,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3377,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1520,IP,TCP,Connection-Transport,3.5.139.117:https
3378,IP TCP 3.5.139.117:https 10.0.2.15:37370 A Raw,30720,IP,TCP,Connection-Transport,3.5.139.117:https
3379,IP TCP 10.0.2.15:37370 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37370
3380,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,2520,IP,TCP,Connection-Transport,3.5.139.117:https
3381,IP TCP 10.0.2.15:37370 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37370
3382,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,738,IP,TCP,Connection-Transport,3.5.139.117:https
3383,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3384,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,7360,IP,TCP,Connection-Transport,3.5.139.117:https
3385,IP TCP 10.0.2.15:37370 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37370
3386,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,1369,IP,TCP,Connection-Transport,3.5.139.117:https
3387,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,52077,IP,TCP,Connection-Transport,3.5.139.117:https
3388,IP TCP 10.0.2.15:37370 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37370
3389,IP TCP 10.0.2.15:37328 3.5.139.117:https PA Raw,524,IP,TCP,Connection-Transport,10.0.2.15:37328
3390,IP TCP 3.5.139.117:https 10.0.2.15:37328 A Padding,66,IP,TCP,Connection-Transport,3.5.139.117:https
3391,IP TCP 3.5.139.117:https 10.0.2.15:37358 PA Raw,2900,IP,TCP,Connection-Transport,3.5.139.117:https
3392,IP TCP 10.0.2.15:37358 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37358
3393,IP TCP 10.0.2.15:37370 3.5.139.117:https PA Raw,518,IP,TCP,Connection-Transport,10.0.2.15:37370
3394,IP TCP 3.5.139.117:https 10.0.2.15:37370 A Padding,66,IP,TCP,Connection-Transport,3.5.139.117:https
3395,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,2820,IP,TCP,Connection-Transport,3.5.139.117:https
3396,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3397,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,2820,IP,TCP,Connection-Transport,3.5.139.117:https
3398,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3399,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,11100,IP,TCP,Connection-Transport,3.5.139.117:https
3400,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3401,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,8340,IP,TCP,Connection-Transport,3.5.139.117:https
3402,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3403,IP TCP 54.231.168.9:https 10.0.2.15:46648 PA Raw,84,IP,TCP,Connection-Transport,54.231.168.9:https
3404,IP TCP 10.0.2.15:46648 54.231.168.9:https A,60,IP,TCP,Connection-Transport,10.0.2.15:46648
3405,IP TCP 54.231.168.9:https 10.0.2.15:46648 FA Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3406,IP TCP 54.231.168.9:https 10.0.2.15:46634 PA Raw,84,IP,TCP,Connection-Transport,54.231.168.9:https
3407,IP TCP 10.0.2.15:46634 54.231.168.9:https A,60,IP,TCP,Connection-Transport,10.0.2.15:46634
3408,IP TCP 54.231.168.9:https 10.0.2.15:46634 FA Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3409,IP TCP 10.0.2.15:46634 54.231.168.9:https PA Raw,84,IP,TCP,Connection-Transport,10.0.2.15:46634
3410,IP TCP 10.0.2.15:46634 54.231.168.9:https FA,60,IP,TCP,Connection-Transport,10.0.2.15:46634
3411,IP TCP 54.231.168.9:https 10.0.2.15:46634 A Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3412,IP TCP 54.231.168.9:https 10.0.2.15:46634 A Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3413,IP TCP 54.231.168.9:https 10.0.2.15:46638 PA Raw,84,IP,TCP,Connection-Transport,54.231.168.9:https
3414,IP TCP 10.0.2.15:46638 54.231.168.9:https A,60,IP,TCP,Connection-Transport,10.0.2.15:46638
3415,IP TCP 54.231.168.9:https 10.0.2.15:46638 FA Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3416,IP TCP 10.0.2.15:46648 54.231.168.9:https PA Raw,84,IP,TCP,Connection-Transport,10.0.2.15:46648
3417,IP TCP 10.0.2.15:46648 54.231.168.9:https FA,60,IP,TCP,Connection-Transport,10.0.2.15:46648
3418,IP TCP 54.231.168.9:https 10.0.2.15:46648 A Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3419,IP TCP 54.231.168.9:https 10.0.2.15:46648 A Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3420,IP TCP 10.0.2.15:46638 54.231.168.9:https PA Raw,84,IP,TCP,Connection-Transport,10.0.2.15:46638
3421,IP TCP 10.0.2.15:46638 54.231.168.9:https FA,60,IP,TCP,Connection-Transport,10.0.2.15:46638
3422,IP TCP 54.231.168.9:https 10.0.2.15:46638 A Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3423,IP TCP 54.231.168.9:https 10.0.2.15:46638 A Padding,66,IP,TCP,Connection-Transport,54.231.168.9:https
3424,IP TCP 10.0.2.15:42302 216.58.212.40:https S,80,IP,TCP,Connection-Transport,10.0.2.15:42302
3425,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1440,IP,TCP,Connection-Transport,3.5.139.117:https
3426,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,2820,IP,TCP,Connection-Transport,3.5.139.117:https
3427,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3428,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,2820,IP,TCP,Connection-Transport,3.5.139.117:https
3429,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3430,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,2820,IP,TCP,Connection-Transport,3.5.139.117:https
3431,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3432,IP TCP 216.58.212.40:https 10.0.2.15:42302 SA Padding,66,IP,TCP,Connection-Transport,216.58.212.40:https
3433,IP TCP 10.0.2.15:42302 216.58.212.40:https A,60,IP,TCP,Connection-Transport,10.0.2.15:42302
3434,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,1440,IP,TCP,Connection-Transport,3.5.139.117:https
3435,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,4200,IP,TCP,Connection-Transport,3.5.139.117:https
3436,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3437,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,15240,IP,TCP,Connection-Transport,3.5.139.117:https
3438,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3439,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,4200,IP,TCP,Connection-Transport,3.5.139.117:https
3440,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3441,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,12936,IP,TCP,Connection-Transport,3.5.139.117:https
3442,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3443,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,20760,IP,TCP,Connection-Transport,3.5.139.117:https
3444,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3445,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,5900,IP,TCP,Connection-Transport,3.5.139.117:https
3446,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1504,IP,TCP,Connection-Transport,3.5.139.117:https
3447,IP TCP 3.5.139.117:https 10.0.2.15:37370 A Raw,13200,IP,TCP,Connection-Transport,3.5.139.117:https
3448,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3449,IP TCP 10.0.2.15:37370 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37370
3450,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,1177,IP,TCP,Connection-Transport,3.5.139.117:https
3451,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,4440,IP,TCP,Connection-Transport,3.5.139.117:https
3452,IP TCP 3.5.139.117:https 10.0.2.15:37370 PA Raw,27914,IP,TCP,Connection-Transport,3.5.139.117:https
3453,IP TCP 10.0.2.15:37370 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37370
3454,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1200,IP,TCP,Connection-Transport,3.5.139.117:https
3455,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,15240,IP,TCP,Connection-Transport,3.5.139.117:https
3456,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3457,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,14660,IP,TCP,Connection-Transport,3.5.139.117:https
3458,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,8340,IP,TCP,Connection-Transport,3.5.139.117:https
3459,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3460,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,640,IP,TCP,Connection-Transport,3.5.139.117:https
3461,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,2980,IP,TCP,Connection-Transport,3.5.139.117:https
3462,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1280,IP,TCP,Connection-Transport,3.5.139.117:https
3463,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,11740,IP,TCP,Connection-Transport,3.5.139.117:https
3464,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,20500,IP,TCP,Connection-Transport,3.5.139.117:https
3465,IP TCP 108.157.52.75:https 10.0.2.15:43198 PA Raw,432,IP,TCP,Connection-Transport,108.157.52.75:https
3466,IP TCP 10.0.2.15:43198 108.157.52.75:https A,60,IP,TCP,Connection-Transport,10.0.2.15:43198
3467,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1516,IP,TCP,Connection-Transport,3.5.139.117:https
3468,IP TCP 3.5.139.117:https 10.0.2.15:37330 A Raw,4440,IP,TCP,Connection-Transport,3.5.139.117:https
3469,IP TCP 3.5.139.117:https 10.0.2.15:37328 PA Raw,4089,IP,TCP,Connection-Transport,3.5.139.117:https
3470,IP TCP 10.0.2.15:37328 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37328
3471,IP TCP 3.5.139.117:https 10.0.2.15:37328 PA Raw,37166,IP,TCP,Connection-Transport,3.5.139.117:https
3472,IP TCP 10.0.2.15:37328 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37328
3473,IP TCP 3.5.139.117:https 10.0.2.15:37328 PA Raw,36663,IP,TCP,Connection-Transport,3.5.139.117:https
3474,IP TCP 10.0.2.15:37328 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37328
3475,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,1440,IP,TCP,Connection-Transport,3.5.139.117:https
3476,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,5580,IP,TCP,Connection-Transport,3.5.139.117:https
3477,IP TCP 10.0.2.15:37350 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37350
3478,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3479,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,4350,IP,TCP,Connection-Transport,3.5.139.117:https
3480,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3481,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1520,IP,TCP,Connection-Transport,3.5.139.117:https
3482,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3483,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,4440,IP,TCP,Connection-Transport,3.5.139.117:https
3484,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3485,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3486,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3487,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3488,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3489,IP TCP 3.5.139.117:https 10.0.2.15:37338 PA Raw,2820,IP,TCP,Connection-Transport,3.5.139.117:https
3490,IP TCP 10.0.2.15:37338 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37338
3491,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,1504,IP,TCP,Connection-Transport,3.5.139.117:https
3492,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,11016,IP,TCP,Connection-Transport,3.5.139.117:https
3493,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3494,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,2820,IP,TCP,Connection-Transport,3.5.139.117:https
3495,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3496,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,62840,IP,TCP,Connection-Transport,3.5.139.117:https
3497,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3498,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,2980,IP,TCP,Connection-Transport,3.5.139.117:https
3499,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3500,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,62840,IP,TCP,Connection-Transport,3.5.139.117:https
3501,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3502,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,2980,IP,TCP,Connection-Transport,3.5.139.117:https
3503,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,37020,IP,TCP,Connection-Transport,3.5.139.117:https
3504,IP TCP 10.0.2.15:42302 216.58.212.40:https PA Raw,732,IP,TCP,Connection-Transport,10.0.2.15:42302
3505,IP TCP 216.58.212.40:https 10.0.2.15:42302 A Padding,66,IP,TCP,Connection-Transport,216.58.212.40:https
3506,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,4200,IP,TCP,Connection-Transport,3.5.139.117:https
3507,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3508,IP TCP 3.5.139.117:https 10.0.2.15:37330 A Raw,11740,IP,TCP,Connection-Transport,3.5.139.117:https
3509,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3510,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,8820,IP,TCP,Connection-Transport,3.5.139.117:https
3511,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3512,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,21020,IP,TCP,Connection-Transport,3.5.139.117:https
3513,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3514,IP TCP 3.5.139.117:https 10.0.2.15:37330 PA Raw,38700,IP,TCP,Connection-Transport,3.5.139.117:https
3515,IP TCP 10.0.2.15:37330 3.5.139.117:https A,60,IP,TCP,Connection-Transport,10.0.2.15:37330
3516,IP TCP 3.5.139.117:https 10.0.2.15:37350 PA Raw,11100,IP,TCP,Connection-Transport,3.5.139.117:https
